Product URL,Product Name,Price (RUB),Rating
https://goldapple.ru/19000203078-vetiver,SOLINOTES: Vetiver,975,4.8
https://goldapple.ru/19000019544-peach-passion-fruit-musk,"Zielinski & Rozen: Peach, Passion fruit, Musk",2200,4.5
https://goldapple.ru/19000118659-rosso-fiorentino,Chiara Firenze: ROSSO FIORENTINO,3975,1
https://goldapple.ru/19000094411-riviera-lazuli,Atelier Des Ors: Riviera Lazuli,20944,3
https://goldapple.ru/19000153565-sensoriel-andaluiza,J.U.S Joyau Unique & Sensoriel: Sensoriel Andaluiza,7850,5
https://goldapple.ru/19000200196-far-very-far-18-08,Neydo: Far very far 18.08,4680,4.6
https://goldapple.ru/83800200001-orange-x-santal,ESSENTIAL PARFUMS PARIS: Orange X Santal,8355,4.5
https://goldapple.ru/19000131346-siberian-pine-forest,Vellutier: Siberian Pine Forest,3285,4.3
https://goldapple.ru/19000208983-fleur-d-oh,OHTOP: Fleur d'oh,7140,None
https://goldapple.ru/19000150169-santal,SIGNATURE BY SILLAGE DORIENT: SANTAL,16875,5
https://goldapple.ru/19000009359-coeur-de-petales,L'atelier parfum: COEUR DE PÉTALES,1820,4.3
https://goldapple.ru/19000035787-for-her-musc-noir-rose,Narciso Rodriguez: for her musc noir rose,10848,4.9
https://goldapple.ru/19760303656-gentle-fluidity-gold,Maison Francis Kurkdjian: Gentle Fluidity Gold,14500,4.7
https://goldapple.ru/19000196054-cioccolato-e-arancio,Logevy Firenze 1965: Cioccolato e Arancio,13500,None
https://goldapple.ru/19000203079-parfumernaa-voda,SOLINOTES: Парфюмерная вода,975,4.1
https://goldapple.ru/19000215156-nirvana,FRANCK BOCLET: NIRVANA,4845,4.2
https://goldapple.ru/19000213850-solution-no-1,Off-White: Solution no. 1,9282,None
https://goldapple.ru/19000152485-tender,IMMERSE: TENDER,2617,2.5
https://goldapple.ru/28320100006-pure-shine,THE WOODS COLLECTION: PURE SHINE,9675,3.9
https://goldapple.ru/19000127039-happy-lemon-dulci,CHOPARD: Happy Lemon Dulci,5445,4.6
https://goldapple.ru/19000220150-liquorice-olibanum,Mark Buxton: liquorice & olibanum,3850,None
https://goldapple.ru/26301300005-white-essentials-white-velvet,Jardin de Parfums: WHITE ESSENTIALS WHITE VELVET,13923,5
https://goldapple.ru/19000131340-desired-by-night,Vellutier: Desired by Night,3285,None
https://goldapple.ru/19000300664-tuscan-emotion,ERMANNO SCERVINO: Tuscan Emotion,4650,None
https://goldapple.ru/3680300003-l-interdit,Givenchy: L'INTERDIT,15200,4.9
https://goldapple.ru/82811900001-french-affair,EX NIHILO: FRENCH AFFAIR,34400,None
https://goldapple.ru/19000136342-01,RHIZOME: 01,5045,3.2
https://goldapple.ru/19760310038-french-gallantry,State Of Mind: French Gallantry,6994,None
https://goldapple.ru/19000012382-nirvana,FRANCK BOCLET: Golden Light NIRVANA,14195,5
https://goldapple.ru/7430600005-bright-crystal,Versace: Bright Crystal,5160,4.7
https://goldapple.ru/19000194036-space,Tonka Perfumes Moscow: Space,16864,None
https://goldapple.ru/19000163476-beso-pasion,BESO BEACH: Beso pasion,7092,4.8
